,node1,node2
0,acl,attr
1,argon2,glibc
2,attr,glibc
3,audit,krb5
4,audit,libcap
5,audit,libcap-ng
6,autoconf,m4
7,autoconf,diffutils
8,autoconf,perl
9,automake,perl
10,automake,bash
11,avahi,expat
12,avahi,libdaemon
13,avahi,glib2
14,avahi,libcap
15,avahi,db
16,avahi,gdbm
17,avahi,db
18,avahi,dbus
19,avahi,db
20,avahi,dbus
21,base,file
22,base,filesystem
23,base,gc
24,base,gcc
25,base,gcc-libs
26,base,glibc
27,base,bash
28,base,coreutils
29,base,file
30,base,findutils
31,base,gawk
32,base,grep
33,base,procps-ng
34,base,sed
35,base,tar
36,base,gettext
37,base,pciutils
38,base,psmisc
39,base,shadow
40,base,linux
41,base,util-linux
42,base,bzip2
43,base,gzip
44,base,xz
45,base,licenses
46,base,pacman
47,base,systemd
48,base,systemd
49,base,systemd-sysvcompat
50,base,iputils
51,base,iproute2
52,bash,readline
53,bash,glibc
54,bash,ncurses
55,binutils,glibc
56,binutils,zlib
57,binutils,elfutils
58,bison,glibc
59,bison,m4
60,boost-libs,bzip2
61,boost-libs,zlib
62,boost-libs,icu
63,boost-libs,zstd
64,bzip2,glibc
65,ca-certificates,ca-certificates
66,ca-certificates,ca-certificates-mozilla
67,ca-certificates-mozilla,ca-certificates
68,ca-certificates-mozilla,ca-certificates-utils
69,ca-certificates-utils,bash
70,ca-certificates-utils,coreutils
71,ca-certificates-utils,findutils
72,ca-certificates-utils,p11-kit
73,calc,readline
74,ceph-libs,boost-libs
75,ceph-libs,curl
76,ceph-libs,glibc
77,ceph-libs,keyutils
78,ceph-libs,libutil-linux
79,ceph-libs,linux
80,ceph-libs,util-linux
81,ceph-libs,lz4
82,ceph-libs,nss
83,ceph-libs,oath-toolkit
84,ceph-libs,python
85,ceph-libs,snappy
86,ceph-libs,systemd
87,ceph-libs,systemd-libs
88,cifs-utils,libcap
89,cifs-utils,libcap-ng
90,cifs-utils,keyutils
91,cifs-utils,krb5
92,cifs-utils,talloc
93,cifs-utils,pam
94,cmake,curl
95,cmake,libarchive
96,cmake,shared-mime-info
97,cmake,jsoncpp
98,cmake,jsoncpp
99,cmake,libuv
100,cmake,rhash
101,coreutils,glibc
102,coreutils,acl
103,coreutils,attr
104,coreutils,gmp
105,coreutils,libcap
106,coreutils,nss
107,coreutils,openssl
108,cracklib,glibc
109,cracklib,zlib
110,cryptsetup,device-mapper
111,cryptsetup,nss
112,cryptsetup,openssl
113,cryptsetup,popt
114,cryptsetup,libutil-linux
115,cryptsetup,linux
116,cryptsetup,util-linux
117,cryptsetup,json-c
118,cryptsetup,json-c
119,cryptsetup,argon2
120,cryptsetup,argon2
121,curl,ca-certificates
122,curl,krb5
123,curl,libssh2
124,curl,nss
125,curl,openssl
126,curl,zlib
127,curl,libpsl
128,curl,libnghttp2
129,curl,libidn2
130,curl,libidn2
131,db,gc
132,db,gcc
133,db,gcc-libs
134,dbus,systemd
135,dbus,systemd-libs
136,dbus,expat
137,dbus,audit
138,dbus,systemd
139,dbus,audit
140,device-mapper,glibc
141,device-mapper,systemd
142,device-mapper,systemd-libs
143,dhcpcd,glibc
144,dhcpcd,systemd
145,dhcpcd,systemd-libs
146,diffutils,glibc
147,diffutils,bash
148,e2fsprogs,libutil-linux
149,e2fsprogs,linux
150,e2fsprogs,util-linux
151,elfutils,gc
152,elfutils,gcc
153,elfutils,gcc-libs
154,elfutils,zlib
155,elfutils,bzip2
156,elfutils,xz
157,elfutils,libmicrohttpd
158,elfutils,sqlite
159,elfutils,libarchive
160,elfutils,curl
161,elfutils,libelf
162,expat,glibc
163,fakeroot,glibc
164,fakeroot,file
