,acl,archlinux-keyring,argon2,attr,audit,autoconf,automake,avahi,base,bash,binutils,bison,boost-libs,bzip2,ca-certificates,ca-certificates-mozilla,ca-certificates-utils,calc,ceph-libs,cifs-utils,cmake,coreutils,cracklib,cryptsetup,curl,db,dbus,device-mapper,dhcpcd,diffutils,dnssec-anchors,e2fsprogs,elfutils,expat,fakeroot,file,filesystem,findutils,flex,gawk,gc,gcc,gcc-libs,gdbm,gettext,git,glib2,glibc,gmp,gnupg,gnutls,gpgme,grep,groff,grub,guile,gzip,hwids,iana-etc,icu,iniparser,iproute2,iptables,iputils,jansson,json-c,jsoncpp,kbd,keyutils,kmod,krb5,ldb,ldns,less,libadd_cpp,libaio,libarchive,libassuan,libbsd,libcap,libcap-ng,libcroco,libcups,libdaemon,libedit,libelf,libffi,libgcrypt,libgpg-error,libidn2,libjpeg-turbo,libksba,libldap,libmicrohttpd,libmnl,libmpc,libnetfilter_conntrack,libnfnetlink,libnftnl,libnghttp2,libnl,libnsl,libp11-kit,libpcap,libpng,libpsl,libsasl,libseccomp,libsecret,libssh2,libtasn1,libtiff,libtirpc,libtool,libunistring,libusb,libutil-linux,libuv,libxml2,libxslt,licenses,linux,linux-api-headers,linux-firmware,lmdb,lz4,m4,make,mkinitcpio,mkinitcpio-busybox,mpfr,mul,nano,ncurses,nettle,npth,nspr,nss,oath-toolkit,openssh,openssl,p11-kit,pacman,pacman-mirrorlist,pam,pambase,patch,pciutils,pcre,pcre2,perl,perl-error,perl-mailtools,perl-parse-yapp,perl-timedate,pinentry,pkgconf,popt,procps-ng,psmisc,python,python-appdirs,python-cachecontrol,python-chardet,python-click,python-colorama,python-contextlib2,python-distlib,python-distro,python-html5lib,python-idna,python-msgpack,python-ordered-set,python-packaging,python-pep517,python-pip,python-progress,python-pyparsing,python-requests,python-resolvelib,python-retrying,python-setuptools,python-six,python-toml,python-urllib3,python-webencodings,readline,rhash,samba,sed,shadow,shared-mime-info,smbclient,snappy,sqlite,sudo,systemd,systemd-libs,systemd-sysvcompat,talloc,tar,tdb,tevent,texinfo,tzdata,util-linux,which,xmlsec,xz,zlib,zstd, attr,, None, glibc, krb5  libcap-ng, awk  m4  diffutils  perl  sh, perl  bash, expat  libdaemon  glib2  libcap  gdbm  dbus  libdbus-1.so=3-64, filesystem  gcc-libs  glibc  bash  coreutils  file  findutils  gawk  grep  procps-ng  sed  tar  gettext  pciutils  psmisc  shadow  util-linux  bzip2  gzip  xz  licenses  pacman  systemd  systemd-sysvcompat  iputils  iproute2, readline>=7.0  glibc  ncurses, glibc  zlib  elfutils, glibc  m4  sh, bzip2  zlib  icu  zstd, glibc  sh, ca-certificates-mozilla, ca-certificates-utils>=20181109-3, bash  coreutils  findutils  p11-kit>=0.23.19, readline, boost-libs  curl  glibc  keyutils  libutil-linux  lz4  nss  oath-toolkit  python  snappy  systemd-libs, libcap-ng  keyutils  krb5  talloc  libwbclient  pam, curl  libarchive  shared-mime-info  jsoncpp  libjsoncpp.so=22-64  libuv  rhash, glibc  acl  attr  gmp  libcap  openssl, glibc  zlib, device-mapper  libdevmapper.so=1.02-64  openssl  popt  libutil-linux  libuuid.so=1-64  json-c  libjson-c.so=5-64  argon2  libargon2.so=1-64, ca-certificates  krb5  libssh2  openssl  zlib  libpsl  libnghttp2  libidn2  libidn2.so=0-64, gcc-libs  sh, systemd-libs  expat  audit  libsystemd.so=0-64  libaudit.so=1-64, glibc  systemd-libs  libudev.so=1-64, glibc  sh  udev  systemd-libs, glibc  bash, sh  libutil-linux, gcc-libs  zlib  bzip2  xz  libmicrohttpd  sqlite  libarchive  curl  libelf=0.180-1, glibc  filesystem  sed  util-linux  sh, glibc  zlib  xz  bzip2  libseccomp  libseccomp.so=2-64, iana-etc, sh  glibc  mpfr, gcc-libs, gcc-libs=10.1.0-2  binutils>=2.28  libmpc, glibc>=2.27, gcc-libs  acl  sh  glib2  libunistring  libcroco, curl  expat  perl  perl-error  perl-mailtools  openssl  pcre2  grep  shadow, pcre  libffi  libutil-linux  zlib  libmount.so=1-64, linux-api-headers>=4.10  tzdata  filesystem, npth  libgpg-error  libgcrypt  libksba  libassuan  pinentry  bzip2  readline  gnutls  sqlite, gcc-libs  libtasn1  readline  zlib  nettle  p11-kit  libidn2  libidn2.so=0-64  libunistring, libgpg-error  gnupg>=2, glibc  pcre, perl  gcc-libs, sh  xz  gettext  device-mapper, gmp  libltdl  ncurses  texinfo  libunistring  gc  libffi, glibc  bash  less, glibc  iptables  libelf, libnftnl  libpcap  libnfnetlink  libnetfilter_conntrack  bash, openssl  libcap  libidn2, glibc  pam, glibc  zlib  openssl  xz, e2fsprogs  libldap  keyutils, talloc  libtevent.so=0-64  tdb  libtdb.so=1-64  popt  lmdb, openssl  dnssec-anchors, glibc  ncurses  pcre, acl  libacl.so=1-64  bzip2  expat  lz4  openssl  xz  zlib  zstd, libgpg-error, glibc  attr, glib2  libxml2, gnutls  libtiff>=4.0.0  libpng>=1.5.7  krb5  avahi  libusb, ncurses, gcc-libs  zlib  bzip2  xz  curl, libunistring, bash  libgpg-error  glibc, libsasl  e2fsprogs, gnutls, mpfr, libnfnetlink  libmnl, libmnl, libtirpc, glibc  libtasn1  libffi, glibc  libnl  sh  libusbx  dbus, zlib  sh, libidn2  libidn2.so=0-64  libunistring, openssl, glib2  libgcrypt, openssl  zlib, libjpeg  zlib  xz  zstd, krb5, sh  tar  glibc, glibc  systemd-libs, glibc  libnsl, zlib  readline  ncurses  xz  icu, libxml2  libgcrypt, coreutils  kmod  initramfs, glibc  guile, awk  mkinitcpio-busybox>=1.19.4-2  kmod  util-linux>=2.23  libarchive  coreutils  bash  diffutils  findutils  grep  filesystem>=2011.10-1  gzip  systemd, gmp>=5.0, ncurses  file  sh, glibc  gcc-libs, gmp, nspr  sqlite  zlib  sh  p11-kit>=0.23.19, glibc  pam  xmlsec, krb5  openssl  libedit  ldns, perl, libp11-kit=0.23.20-5  coreutils  libp11-kit.so=0-64  libsystemd.so=0-64, bash  glibc  libarchive  curl  gpgme  pacman-mirrorlist  archlinux-keyring, glibc  cracklib  libtirpc  pambase, glibc  hwids  kmod, gcc-libs  readline  zlib  bzip2  bash, gdbm>=1.17  db  glibc, perl-timedate, ncurses  libcap  libassuan  libsecret, ncurses  systemd-libs, expat  bzip2  gdbm  openssl  libffi  zlib  libnsl, python, python-msgpack  python-requests, python-setuptools, python  python-setuptools, python-six  python-webencodings, python-pyparsing  python-six, python-toml, python-appdirs  python-cachecontrol  python-colorama  python-contextlib2  python-distlib  python-distro  python-html5lib  python-packaging  python-pep517  python-progress  python-requests  python-retrying  python-resolvelib  python-setuptools  python-six  python-toml, python-urllib3  python-chardet  python-idna, python-six, python-appdirs  python-packaging  python-ordered-set, glibc  ncurses  libncursesw.so=6-64, db>=4.7  popt  libcups  libcap>=2.16  gnutls>=2.4.1  talloc  ldb  libbsd  python  iniparser  tdb  libaio  perl-parse-yapp  smbclient>=4.12.3  gpgme  ceph-libs  libldb.so=2-64  libtdb.so=1-64  libtevent.so=0-64, glibc  acl  attr, pam  acl  audit  libaudit.so=1-64, libxml2  glib2, popt  cifs-utils  tdb  ldb  tevent  libgcrypt  python  talloc  readline  gnutls  libbsd  libldap  libcups  libarchive  libnsl  jansson  libldb.so=2-64  libtdb.so=1-64  libtevent.so=0-64  libreadline.so=8-64, readline  zlib, glibc  libgcrypt  pam  libldap, acl  libacl.so=1-64  bash  cryptsetup  libcryptsetup.so=12-64  dbus  iptables  kbd  kmod  libkmod.so=2-64  hwids  libcap  libcap.so=2-64  libgcrypt  systemd-libs  libidn2  libidn2.so=0-64  lz4  pam  libelf  libseccomp  libseccomp.so=2-64  util-linux  libblkid.so=1-64  libmount.so=1-64  xz  pcre2  audit  libaudit.so=1-64  libp11-kit  libp11-kit.so=0-64, glibc  libcap  libgcrypt  lz4  xz, systemd, talloc, ncurses  gzip  perl  sh, pam  shadow  coreutils  systemd-libs  libcap-ng  libutil-linux, libxslt  openssl  gnutls  nss  libltdl, sh, zlib  xz  lz4
acl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archlinux-keyring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argon2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoconf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
